device,model,task,image_id,latency_ms,resolution,measured_at
cpu,rfdetr-nano,detection,000000000309,582.6048049784731,640,2026-07-01
cpu,rfdetr-nano,detection,000000000312,603.4224829927552,640,2026-07-01
cpu,rfdetr-nano,detection,000000000315,690.3517200262286,640,2026-07-01
cpu,rfdetr-nano,detection,000000000321,568.9301629900001,640,2026-07-01
cpu,rfdetr-nano,detection,000000000322,641.9263130228501,640,2026-07-01
cpu,rfdetr-nano,detection,000000000326,638.5591699799988,640,2026-07-01
cpu,rfdetr-nano,detection,000000000328,668.1503359868657,640,2026-07-01
cpu,rfdetr-nano,detection,000000000332,777.7643190056551,640,2026-07-01
cpu,rfdetr-nano,detection,000000000338,718.8110490096733,640,2026-07-01
cpu,rfdetr-nano,detection,000000000349,585.6979690142907,640,2026-07-01
cpu,rfdetr-nano,detection,000000000357,629.5770019933116,640,2026-07-01
cpu,rfdetr-nano,detection,000000000359,658.0530279898085,640,2026-07-01
cpu,rfdetr-nano,detection,000000000360,596.2791320052929,640,2026-07-01
cpu,rfdetr-nano,detection,000000000368,729.8411600058898,640,2026-07-01
cpu,rfdetr-nano,detection,000000000370,701.3374399975874,640,2026-07-01
cpu,rfdetr-nano,detection,000000000382,689.2828939890023,640,2026-07-01
